C	alpha	bias_type	steps_per_sample	acc_prob	integrator_coefficients	vector_german_credit_numeric_sparse_logistic_regression
0.1	1.0	3	15			424
0.1	1.32	3	15			344
0.1	1.741	3	15			307
0.1	2.297	3	15			338
0.1	3.031	3	15			325
0.1	4.0	3	15			351
