C	alpha	bias_type	steps_per_sample	acc_prob	integrator_coefficients	ICG_100_131258.94094081654
0.1	1.0	3	15			369.0
0.1	1.32	3	15			305.0
0.1	1.741	3	15			305.0
0.1	2.297	3	15			753.0
0.1	3.031	3	15			440.0
0.1	4.0	3	15			inf
