C	alpha	bias_type	steps_per_sample	acc_prob	integrator_coefficients	Stochastic_Volatility_MAMS_Paper
0.1	1.0	3	15			inf
0.1	1.32	3	15			1766.0
0.1	1.741	3	15			1625.0
0.1	2.297	3	15			1775.0
0.1	3.031	3	15			inf
0.1	4.0	3	15			inf
