,Sampler,Model,num_grads_to_low_error,grads_to_low_error_std,ess_corr,max,statistic,num_tuning_grads,L,step_size,batch_size
0,adjusted_canonical_nolangevin_nuts_velocity verlet_precond:True,ICG,inf,,,True,covariance,4461.4765625,3.08669079217778,0.4408966179930599,128
1,adjusted_canonical_nolangevin_nuts_velocity verlet_precond:True,ICG,inf,,,False,covariance,4461.4765625,3.08669079217778,0.4408966179930599,128
2,adjusted_canonical_nolangevin_nuts_velocity verlet_precond:True,ICG,4802.7503125,23.770393349711316,,True,identity,4461.4765625,3.08669079217778,0.4408966179930599,128
3,adjusted_canonical_nolangevin_nuts_velocity verlet_precond:True,ICG,637.09953125,2.3919866220361685,,False,identity,4461.4765625,3.08669079217778,0.4408966179930599,128
4,adjusted_canonical_nolangevin_nuts_velocity verlet_precond:True,ICG,11390.779531250002,73.33587116820799,,True,square,4461.4765625,3.08669079217778,0.4408966179930599,128
5,adjusted_canonical_nolangevin_nuts_velocity verlet_precond:True,ICG,1428.2231250000002,3.670149860700514,,False,square,4461.4765625,3.08669079217778,0.4408966179930599,128
