,Sampler,Model,num_grads_to_low_error,max,statistic,num_tuning_grads,L,step_size
0,adjusted_microcanonical_omelyan,Gaussian_2,1127.5000000091707,True,x2,150812.4603174603,1.5823859011289232,1.4385326373779255
1,adjusted_microcanonical_omelyan,Gaussian_2,660.0000000053682,False,x2,150812.4603174603,1.5823859011289232,1.4385326373779255
2,adjusted_microcanonical_omelyan,Gaussian_2,1716.0000000139573,True,x,150812.4603174603,1.5823859011289232,1.4385326373779255
3,adjusted_microcanonical_omelyan,Gaussian_2,1144.0000000093048,False,x,150812.4603174603,1.5823859011289232,1.4385326373779255
