,Sampler,Model,num_grads_to_low_error,max,statistic,num_tuning_grads,L,step_size
0,adjusted_microcanonical_velocity_verlet,Gaussian_2,225.53180415391486,True,x2,30163.60714285714,1.461077937411993,1.3280337269247355
1,adjusted_microcanonical_velocity_verlet,Gaussian_2,145.2204787722769,False,x2,30163.60714285714,1.461077937411993,1.3280337269247355
2,adjusted_microcanonical_velocity_verlet,Gaussian_2,410.3578680459036,True,x,30163.60714285714,1.461077937411993,1.3280337269247355
3,adjusted_microcanonical_velocity_verlet,Gaussian_2,240.9339761449139,False,x,30163.60714285714,1.461077937411993,1.3280337269247355
