C	alpha	bias_type	steps_per_sample	acc_prob	integrator_coefficients	ICG_100_131258.94094081654
0.1	1.9	3	5			316
0.1	1.9	3	6			316
0.1	1.9	3	7			316
0.1	1.9	3	9			316
0.1	1.9	3	11			316
0.1	1.9	3	13			316
0.1	1.9	3	16			316
0.1	1.9	3	20			316
0.1	1.9	3	24			316
0.1	1.9	3	29			316
