,Sampler,Model,num_grads_to_low_error,max,statistic,num_tuning_grads,L,step_size
0,nuts,Banana_MAMS,97684.33162939454,True,x2,39512.23828125,1.8342687075741633,0.2151747274319466
1,nuts,Banana_MAMS,53733.08228173829,False,x2,39512.23828125,1.8342687075741633,0.2151747274319466
2,nuts,Banana_MAMS,inf,True,x,39512.23828125,1.8342687075741633,0.2151747274319466
3,nuts,Banana_MAMS,inf,False,x,39512.23828125,1.8342687075741633,0.2151747274319466
