,Sampler,Model,num_grads_to_low_error,grads_to_low_error_std,ess_corr,max,statistic,num_tuning_grads,L,step_size
0,adjusted_microcanonical_nolangevin_alba_velocity verlet_precond:False,ICG_2_1,571.1133914602792,33.15373282150895,,True,covariance,20420.13671875,2.179506009414224,1.6612226433473483
1,adjusted_microcanonical_nolangevin_alba_velocity verlet_precond:False,ICG_2_1,571.1133914602792,33.15373282150895,,False,covariance,20420.13671875,2.179506009414224,1.6612226433473483
2,adjusted_microcanonical_nolangevin_alba_velocity verlet_precond:False,ICG_2_1,374.2227017102743,23.952576061876933,,True,identity,20420.13671875,2.179506009414224,1.6612226433473483
3,adjusted_microcanonical_nolangevin_alba_velocity verlet_precond:False,ICG_2_1,224.27283865563479,6.674249021425556,,False,identity,20420.13671875,2.179506009414224,1.6612226433473483
4,adjusted_microcanonical_nolangevin_alba_velocity verlet_precond:False,ICG_2_1,280.34104831954346,18.63401191370232,,True,square,20420.13671875,2.179506009414224,1.6612226433473483
5,adjusted_microcanonical_nolangevin_alba_velocity verlet_precond:False,ICG_2_1,168.20462899172608,8.941336589123575,,False,square,20420.13671875,2.179506009414224,1.6612226433473483
