,Sampler,Model,num_grads_to_low_error,max,statistic,num_tuning_grads,L,step_size
0,unadjusted_microcanonical__omelyan,Rosenbrock_16,inf,True,x2,111115.0,10.034785691703783,0.5370434639448296
1,unadjusted_microcanonical__omelyan,Rosenbrock_16,18255.0,False,x2,111115.0,10.034785691703783,0.5370434639448296
2,unadjusted_microcanonical__omelyan,Rosenbrock_16,inf,True,x,111115.0,10.034785691703783,0.5370434639448296
3,unadjusted_microcanonical__omelyan,Rosenbrock_16,12620.0,False,x,111115.0,10.034785691703783,0.5370434639448296
